book_name,chapter,verse,total_words,blank_position,option1,option2,option3,option4
Psalms,27,4,41,0,One,That,This,Only
Psalms,27,4,41,13,dwell,abide,live,reside
Psalms,27,4,41,27,gaze,look,focus,fix
Psalms,27,4,41,1,thing,plea,request,desire
Psalms,27,4,41,14,in,inside,within,at
Psalms,27,4,41,28,upon,on,at,toward
Psalms,27,4,41,2,I,we,you,they
Psalms,27,4,41,15,the,this,that,one
Psalms,27,4,41,29,holy,great,divine,splendid
Psalms,27,4,41,3,ask,desire,seek,learn
Psalms,27,4,41,16,house,dwelling,sanctuary,tabernacle
Psalms,27,4,41,30,beauty,glory,face,splendor
Psalms,27,4,41,4,of,unto,from,for
Psalms,27,4,41,17,of,unto,for,in
Psalms,27,4,41,31,of,for,unto,in
Psalms,27,4,41,5,the,my,our,thy
Psalms,27,4,41,18,the,my,our,thy
Psalms,27,4,41,32,the,my,our,thy
Psalms,27,4,41,6,LORD,God,Jehovah,Yahweh
Psalms,27,4,41,19,LORD,God,Jehovah,Yahweh
Psalms,27,4,41,33,LORD,God,Jehovah,Yahweh
Psalms,27,4,41,7,this,that,which,what
Psalms,27,4,41,20,all,throughout,during,for
Psalms,27,4,41,34,and,so,thus,hence
Psalms,27,4,41,8,only,alone,solely,chiefly
Psalms,27,4,41,21,the,these,those,my
Psalms,27,4,41,35,to,shall,would,should
Psalms,27,4,41,9,do,shall,will,must
Psalms,27,4,41,22,days,years,lifespan,moments
Psalms,27,4,41,36,seek,worship,behold,praise
Psalms,27,4,41,10,I,we,they,you
Psalms,27,4,41,23,of,in,on,for
Psalms,27,4,41,37,him,God,LORD,Yahweh
Psalms,27,4,41,11,desire,long,yearn,aspire
Psalms,27,4,41,24,my,this,one's,our
Psalms,27,4,41,38,in,within,at,inside
Psalms,27,4,41,12,that I may,that I shall,that I might,that I could
Psalms,27,4,41,25,life,existence,lifetime,lifespan
Psalms,27,4,41,39,his,the,this,our
Psalms,27,4,41,13,dwell,live,abide,reside
Psalms,27,4,41,26,to,that,for,in
Psalms,27,4,41,40,temple,sanctuary,tabernacle,house
Proverbs,3,5-6,29,0,Trust,Believe,Confide,Rest
Proverbs,3,5-6,29,9,do,shall,should,must
Proverbs,3,5-6,29,19,all,fully,completely,wholly
Proverbs,3,5-6,29,1,in,upon,with,for
Proverbs,3,5-6,29,10,not,never,avoid,refuse
Proverbs,3,5-6,29,20,your,my,our,these
Proverbs,3,5-6,29,2,the,my,our,thy
Proverbs,3,5-6,29,11,lean,rely,depend,trust
Proverbs,3,5-6,29,21,ways,paths,journeys,actions
Proverbs,3,5-6,29,3,Lord,God,Jehovah,Yahweh
Proverbs,3,5-6,29,12,on,upon,in,over
Proverbs,3,5-6,29,22,and,so,then,thus
Proverbs,3,5-6,29,4,with,through,by,along
Proverbs,3,5-6,29,13,thy,thine,your,my
Proverbs,3,5-6,29,23,he,God,Jehovah,Yahweh
Proverbs,3,5-6,29,5,all,whole,entire,total
Proverbs,3,5-6,29,14,own,personal,private,sole
Proverbs,3,5-6,29,24,shall,will,may,might
Proverbs,3,5-6,29,6,your,thy,one's,my
Proverbs,3,5-6,29,15,understanding,wisdom,knowledge,judgment
Proverbs,3,5-6,29,25,make,guide,direct,straighten
Proverbs,3,5-6,29,7,heart,hearts,soul,strength
Proverbs,3,5-6,29,16,acknowledge,obey,trust,follow
Proverbs,3,5-6,29,26,thy,your,my,our
Proverbs,3,5-6,29,8,and,but,yet,so
Proverbs,3,5-6,29,17,Him,God,the LORD,the Lord
Proverbs,3,5-6,29,27,paths,path,ways,course
Proverbs,3,5-6,29,9,do,shall,should,must
Proverbs,3,5-6,29,18,in,through,by,with
Proverbs,3,5-6,29,28,straight,clear,level,even
Galatians,5,22-23,24,0,But,Yet,However,Nevertheless
Galatians,5,22-23,24,8,joy,delight,happiness,gladness
Galatians,5,22-23,24,16,temperance,self-control,discipline,restraint
Galatians,5,22-23,24,1,the,this,that,a
Galatians,5,22-23,24,9,peace,calm,serenity,forbearance
Galatians,5,22-23,24,17,Against,Concerning,Regarding,About
Galatians,5,22-23,24,2,fruit,manifestation,expression,evidence
Galatians,5,22-23,24,10,patience,forbearance,longsuffering,tolerance
Galatians,5,22-23,24,18,such,these,those,all
Galatians,5,22-23,24,3,of,from,through,in
Galatians,5,22-23,24,11,kindness,gentleness,mercy,compassion
Galatians,5,22-23,24,19,things,virtues,qualities,principles
Galatians,5,22-23,24,4,Holy,Divine,Sacred,Heavenly
Galatians,5,22-23,24,12,goodness,steadfast,true,constant
Galatians,5,22-23,24,20,There,Therein,Thereupon,Thereby
Galatians,5,22-23,24,5,Spirit,Holy Spirit,Spirit of God,Divine Spirit
Galatians,5,22-23,24,13,faithfulness,loyalty,steadfastness,reliability
Galatians,5,22-23,24,21,is,exists,shall,was
Galatians,5,22-23,24,6,is,embodies,represents,signifies
Galatians,5,22-23,24,14,gentleness,meekness,temperance,humility
Galatians,5,22-23,24,22,no,unwritten,natural,divine
Galatians,5,22-23,24,7,love,true,eternal,abundant
Galatians,5,22-23,24,15,and,with,alongside,plus
Galatians,5,22-23,24,23,law,limit,rule,end
Ephesians,1,7,20,0,in,through,with,by
Ephesians,1,7,20,6,his,Christ's,Jesus',God's
Ephesians,1,7,20,13,according,as,concerning,about
Ephesians,1,7,20,1,him,Christ,Jesus,Messiah
Ephesians,1,7,20,7,blood,death,sacrifice,atonement
Ephesians,1,7,20,14,to,with,unto,as
Ephesians,1,7,20,2,we,you,they,people
Ephesians,1,7,20,8,the,this,that,his
Ephesians,1,7,20,15,the,great,abundant,immeasurable
Ephesians,1,7,20,3,have,obtain,secure,acquire
Ephesians,1,7,20,9,forgiveness,pardon,remission,clemency
Ephesians,1,7,20,16,riches,abundance,wealth,fullness
Ephesians,1,7,20,4,redemption,reconciliation,atonement,salvation
Ephesians,1,7,20,10,of,for,toward,concerning
Ephesians,1,7,20,17,of,in,through,by
Ephesians,1,7,20,5,through,by,via,with
Ephesians,1,7,20,11,all,grave,serious,many
Ephesians,1,7,20,18,his,God's,Christ's,divine
Ephesians,1,7,20,6,his,the,thy,this
Ephesians,1,7,20,12,sins,trespasses,transgressions,iniquities
Ephesians,1,7,20,19,grace,mercy,glory,wisdom
Philippians,4,13,13,0,I,We,He,They
Philippians,4,13,13,4,do,accomplish,achieve,perform
Philippians,4,13,13,8,Christ,Jesus,God,Him
Philippians,4,13,13,1,am,was,shall,will
Philippians,4,13,13,5,many,all,great,several
Philippians,4,13,13,9,Christ,God,Jesus,Spirit
Philippians,4,13,13,2,able,prepared,ready,determined
Philippians,4,13,13,6,things,tasks,endeavors,works
Philippians,4,13,13,10,who,that,which,whom
Philippians,4,13,13,3,to,for,in,with
Philippians,4,13,13,7,through,by,via,in
Philippians,4,13,13,11,strengthens,empowers,enables,aids
Philippians,4,13,13,4,do,accomplish,achieve,perform
Philippians,4,13,13,8,Him,Christ,God,Jesus
Philippians,4,13,13,12,me,us,you,them
Philippians,4,19,16,0,But,And,Surely,Yet
Philippians,4,19,16,5,your,our,their,one's
Philippians,4,19,16,10,his,God's,thy,their
Philippians,4,19,16,1,my,so,then,surely
Philippians,4,19,16,6,every,basic,urgent,greatest
Philippians,4,19,16,11,glorious,abundant,immeasurable,boundless
Philippians,4,19,16,2,God,Lord,Savior,Father
Philippians,4,19,16,7,need,desire,request,want
Philippians,4,19,16,12,riches,grace,mercy,power
Philippians,4,19,16,3,shall,will,would,could
Philippians,4,19,16,8,according,in,as,unto
Philippians,4,19,16,13,in,by,through,with
Philippians,4,19,16,4,meet,supply,fulfill,provide
Philippians,4,19,16,9,to,unto,as,with
Philippians,4,19,16,14,Christ,Messiah,Savior,Redeemer
Philippians,4,19,16,5,your,my,our,their
Philippians,4,19,16,10,his,the,our,these
Philippians,4,19,16,15,Jesus,Savior,Lord,Messiah
